fecha,reservas,tc_mayorista,tc_minorista,badlar,tasa_adelanto_cc,base_monetaria,depositos,creditos,m2_privado,prestamos_priv,inflacion_mensual,inflacion_interanual,rem_inflacion,tasa_pases_terceros,tamar,compras_usd_bcra,depositos_usd,m2_transaccional,cer,prestamos_usd
2024-04-23,29899.0,915.4,872.75,61.0,73.91,13306320.0,7750545.0,762424.0,152.5,20309555.0,,,,61.259,,125.9,17278.0,21490389.177,345.34181208142,5620.0
2024-04-24,30023.0,915.35,873.25,61.25,73.02,13344121.0,7793143.0,768751.0,152.0,20512489.0,,,,61.629,,109.3359,17301.0,21746092.119,346.5452332454,5673.0
2024-04-25,30096.0,916.05,873.75,56.5,67.73,13540291.0,7842724.0,792175.0,151.2,20623561.0,,,,53.334,,57.2875,17193.0,21695657.77,347.75284800092,5623.0
2024-04-26,30141.0,918.36,874.75,50.6875,66.42,13672428.0,7884780.0,834875.0,150.1,20759280.0,,,,48.568,,59.6,17209.0,22228768.929,348.96467096148,5745.0
2024-04-27,,,,,,,,,148.9,,,,,,,,,,350.18071679152,
2024-04-28,,,,,,,,,147.4,,,,,,,,,,351.40100020657,
2024-04-29,29869.0,915.62,876.42,50.8125,65.54,14034425.0,7969549.0,858864.0,146.2,21114129.0,,,,49.01,,-92.2416,17271.0,23196055.276,352.62553597345,5764.0
2024-04-30,27578.0,920.57,876.75,50.8125,64.14,14969070.0,8000682.0,937433.0,145.9,21244958.0,8.8,289.4,88.0,45.101,,191.839,17293.0,24834859.416,353.85433891045,5826.0
2024-05-01,,,,,,,,,145.5,,,,,,,,,,355.08742388746,
2024-05-02,28200.0,918.05,878.25,47.875,59.28,13245377.0,8103574.0,901311.0,145.4,21574230.0,,,,44.453,,162.85,17313.0,25213589.066,356.32480582624,5885.0
2024-05-03,28381.0,921.34,878.75,40.9375,55.45,13375995.0,8190380.0,862595.0,145.5,21644255.0,,,,38.64,,144.0289,17291.0,25677616.036,357.56649970049,5943.0
2024-05-04,,,,,,,,,145.6,,,,,,,,,,358.81252053613,
2024-05-05,,,,,,,,,145.8,,,,,,,,,,360.06288341144,
2024-05-06,27688.0,923.56,880.25,40.3125,54.36,13533488.0,8250520.0,853562.0,146.0,21677277.0,,,,37.916,,64.8734,17304.0,25603799.353,361.31760345721,5900.0
2024-05-07,27791.0,922.38,880.75,40.4375,53.17,13474015.0,8272517.0,898038.0,146.2,21532931.0,,,,38.583,,219.39,17308.0,25681895.637,362.576695857,5941.0
2024-05-08,27967.0,923.05,881.75,39.75,53.01,13946583.0,8349843.0,943060.0,146.6,21403937.0,,,,38.519,,231.1012,17325.0,25489716.035,363.84017584726,5968.0
2024-05-09,28037.0,924.06,882.25,40.125,52.82,13888653.0,8366891.0,926403.0,147.4,21409914.0,,,,38.169,,59.0158,17334.0,25386792.734,365.10805871752,5955.0
2024-05-10,28361.0,922.24,882.75,39.375,52.24,13971064.0,8452273.0,896335.0,148.0,21522698.0,,,,39.248,,226.7655,17355.0,24930993.888,366.38035981061,6049.0
2024-05-11,,,,,,,,,148.7,,,,,,,,,,367.65709452283,
2024-05-12,,,,,,,,,149.0,,,,,,,,,,368.93827830412,
2024-05-13,28325.0,922.93,884.25,39.75,51.97,14005521.0,8509041.0,887891.0,149.2,21228242.0,,,,39.018,,101.8,17393.0,24677875.978,370.22392665825,6081.0
2024-05-14,28368.0,926.01,885.25,39.1875,51.81,14125646.0,8524450.0,895584.0,149.5,21425573.0,,,,39.556,,141.69,17396.0,24814032.698,371.51405514304,6146.0
2024-05-15,28271.0,928.68,885.75,32.5,46.41,15938665.0,8570262.0,870339.0,149.9,21563674.0,,,,25.995,,105.0966,17399.0,25389996.018,372.80867937051,6175.0
2024-05-16,28576.0,928.45,886.25,32.0625,44.02,15817730.0,8601361.0,861812.0,150.7,21583752.0,,,,27.198,,262.9745,17387.0,24495703.896,373.8243543492,6233.0
2024-05-17,28801.0,927.58,886.75,31.1875,42.93,15826106.0,8655136.0,814752.0,151.5,21920767.0,,,,29.431,,138.58,17464.0,24814400.476,374.84279641921,6250.0
2024-05-18,,,,,,,,,152.3,,,,,,,,,,375.86401311918,
2024-05-19,,,,,,,,,153.4,,,,,,,,,,376.88801200826,
2024-05-20,28899.0,927.13,888.75,31.9375,42.33,18070534.0,8683405.0,786826.0,154.5,22285513.0,,,,28.387,,125.59,17453.0,24856431.186,377.91480066622,6287.0
2024-05-21,29062.0,927.39,889.25,31.875,42.62,15122360.0,8749209.0,870215.0,155.3,22365968.0,,,,28.911,,188.5637,17518.0,24582116.093,378.94438669345,6322.0
2024-05-22,29081.0,929.52,889.75,31.5625,43.03,14565256.0,8802945.0,889844.0,155.9,22638526.0,,,,30.045,,58.5171,17552.0,24860782.885,379.97677771109,6347.0
2024-05-23,29005.0,929.26,890.25,30.625,41.96,14674456.0,8836480.0,964896.0,156.6,22795450.0,,,,30.592,,58.7496,17550.0,24917540.028,381.01198136101,6354.0
2024-05-24,29116.0,931.78,890.75,32.1875,43.32,14959700.0,8890649.0,977536.0,157.3,23018197.0,,,,31.183,,117.0178,17566.0,25131359.234,382.0500053059,6364.0
2024-05-25,,,,,,,,,157.9,,,,,,,,,,383.09085722934,
2024-05-26,,,,,,,,,158.6,,,,,,,,,,384.13454483583,
2024-05-27,29157.0,933.75,892.75,31.625,43.89,15234098.0,8967894.0,1016043.0,159.5,23308513.0,,,,30.916,,-11.0,17578.0,25530859.94,385.18107585088,6380.0
2024-05-28,29186.0,933.13,893.25,31.6875,44.7,15478305.0,8983682.0,1050638.0,160.8,23673838.0,,,,31.108,,55.6279,17635.0,25570845.854,386.23045802102,6430.0
2024-05-29,29191.0,933.36,893.75,32.375,44.59,15568957.0,9044486.0,1040309.0,161.9,23870048.0,,,,30.791,,94.43,17656.0,26252299.435,387.28269911391,6428.0
2024-05-30,29066.0,934.62,894.25,32.125,45.49,15927363.0,9056570.0,1119424.0,162.6,24099652.0,,,,31.765,,37.9376,17651.0,27156907.97,388.33780691836,6440.0
2024-05-31,28664.0,933.76,895.25,33.375,44.28,17151691.0,9156246.0,1091737.0,163.3,24302262.0,4.2,276.4,68.9,29.852,,-52.0,17723.0,28404009.339,389.3957892444,6381.0
2024-06-01,,,,,,,,,163.5,,,,,,,,,,390.45665392333,
2024-06-02,,,,,,,,,163.4,,,,,,,,,,391.5204088078,
2024-06-03,29134.0,937.66,896.42,32.0625,44.94,16701852.0,9256325.0,1062869.0,163.2,24410118.0,,,,30.481,,0.0,17647.0,28616571.522,392.58706177184,6357.0
2024-06-04,29289.0,935.68,896.92,32.375,44.62,16642866.0,9285102.0,1105047.0,163.1,24611606.0,,,,30.757,,59.4049,17647.0,28519407.455,393.65662071095,6361.0
2024-06-05,29368.0,938.14,898.25,32.5625,45.13,16869531.0,9350747.0,1106537.0,163.1,24488377.0,,,,30.945,,48.1301,17658.0,29010089.449,394.72909354213,6359.0
2024-06-06,29415.0,936.71,898.5,32.875,44.87,17217862.0,9449825.0,1100588.0,163.3,24491152.0,,,,30.767,,-1.3775,17670.0,29487582.76,395.80448820394,6370.0
2024-06-07,29300.0,939.07,899.08,32.9375,44.87,17752098.0,9560702.0,1101111.0,163.3,24568346.0,,,,30.872,,20.0,17680.0,29052423.709,396.88281265658,6341.0
2024-06-08,,,,,,,,,163.2,,,,,,,,,,397.96407488194,
2024-06-09,,,,,,,,,163.3,,,,,,,,,,399.04828288363,
2024-06-10,29237.0,940.56,901.17,31.75,43.9,16935023.0,9686618.0,1108381.0,163.0,24464576.0,,,,31.394,,-27.1,17670.0,28556300.179,400.1354446871,6309.0
2024-06-11,29212.0,938.37,902.17,34.625,43.41,16686086.0,9747557.0,1164564.0,162.9,24944144.0,,,,31.71,,-9.0,17711.0,28488259.967,401.22556833965,6349.0
2024-06-12,29268.0,936.54,902.25,33.4375,44.07,17472890.0,9851923.0,1247517.0,163.3,24764111.0,,,,30.006,,-30.9812,17705.0,28734217.741,402.31866191049,6371.0
2024-06-13,29277.0,941.61,902.58,33.625,44.57,17191547.0,9952647.0,1310920.0,163.8,24867317.0,,,,30.317,,23.9674,17680.0,29227545.507,403.41473349083,6431.0
2024-06-14,29172.0,941.93,902.67,33.8125,45.43,19065154.0,10101568.0,1354020.0,164.3,25193116.0,,,,29.158,,136.5185,17584.0,29528235.151,404.51379119392,6444.0
2024-06-15,,,,,,,,,164.7,,,,,,,,,,405.61584315511,
2024-06-16,,,,,,,,,165.2,,,,,,,,,,406.17248555815,
2024-06-17,,,,,,,,,165.8,,,,,,,,,,406.72989186322,
2024-06-18,29959.0,943.66,905.42,32.625,45.64,18289123.0,10333656.0,1399744.0,166.3,25645666.0,,,,33.285,,-121.4813,17665.0,29742420.154,407.28806311865,6435.0
2024-06-19,29946.0,944.93,906.0,34.5,44.58,18775335.0,10477814.0,1407973.0,166.9,26148010.0,,,,35.439,,81.5372,17699.0,29886642.163,407.8470003742,6429.0
2024-06-20,,,,,,,,,167.7,,,,,,,,,,408.4067046811,
2024-06-21,,,,,,,,,168.5,,,,,,,,,,408.967177092,
2024-06-22,,,,,,,,,169.2,,,,,,,,,,409.52841866099,
2024-06-23,,,,,,,,,169.8,,,,,,,,,,410.09043044363,
2024-06-24,29716.0,947.74,909.08,33.375,43.37,17940751.0,10625142.0,1373643.0,170.5,26707636.0,,,,35.703,,-155.78,17731.0,30312804.035,410.6532134969,6428.0
