fecha,mep,ccl
2025-03-11,1230.69,1232.2034
2025-03-12,1230.31,1233.9272
2025-03-13,1233.24,1236.3099
2025-03-14,1238.95,1241.2664
2025-03-17,1252.3,1257.21
2025-03-18,1298.05,1298.4625
2025-03-19,1290.28,1293.8979
2025-03-20,1288.17,1290.1814
2025-03-21,1288.38,1294.2188
2025-03-25,1295.1,1298.9483
2025-03-26,1296.72,1298.7377
2025-03-31,1312.76,1316.4856
2025-04-01,1313.52,
2025-04-03,1321.72,
2025-04-04,1337.52,1339.0405
2025-04-07,1366.22,1363.756
2025-04-08,1377.33,1376.6409
2025-04-09,1356.28,1355.8471
2025-04-10,1365.64,1365.4192
2025-04-11,1332.59,1339.8506
2025-04-14,1254.38,1253.1108
2025-04-15,1238.81,1246.1515
2025-04-16,1165.93,1182.8484
2025-04-21,1123.26,1135.3292
2025-04-22,1139.39,1153.6611
2025-04-23,1167.16,1190.8845
2025-04-24,1185.36,1201.7058
2025-04-25,1184.61,1197.3645
2025-04-28,1177.26,1194.961
2025-04-29,1173.24,1190.8695
2025-04-30,1182.14,1194.5531
2025-05-05,1205.8,1213.6391
2025-05-06,1200.59,1214.5646
2025-05-07,1157.4,1167.0159
2025-05-08,1144.13,1157.5703
2025-05-09,1144.69,1160.2401
2025-05-12,1143.71,1156.924
2025-05-13,1140.39,1156.1799
2025-05-14,1138.93,1157.8869
2025-05-15,1145.4,1163.5761
2025-05-16,1155.11,1169.0055
2025-05-19,1148.51,1166.5419
2025-05-20,1154.64,1168.6298
2025-05-21,1148.54,1165.0689
2025-05-22,1144.16,1158.9384
2025-05-23,1144.34,1157.8869
2025-05-26,1144.26,1160.2564
2025-05-27,1160.71,1173.0197
2025-05-28,1165.09,1175.1986
2025-05-29,1181.14,1193.8248
2025-05-30,1192.24,1203.6434
2025-06-02,1184.36,1194.6289
2025-06-03,1189.87,1197.0436
2025-06-04,1192.92,1199.0514
2025-06-05,1192.7,1196.7776
2025-06-06,1191.68,1197.2627
2025-06-09,1192.88,1197.9598
2025-06-10,1189.95,1192.2517
2025-06-11,1187.78,1192.5448
2025-06-12,1187.51,1191.2023
2025-06-13,1191.48,1194.3783
2025-06-17,1179.99,1181.6154
2025-06-18,1167.06,1171.7443
2025-06-19,1174.23,1179.2002
2025-06-23,1185.64,1192.8919
2025-06-24,1184.14,1186.6918
2025-06-25,1196.56,1201.4904
2025-06-26,1198.43,1204.2417
2025-06-27,1197.48,1201.3667
2025-06-30,1211.62,1215.1936
2025-07-01,1232.33,1234.7775
2025-07-02,1236.93,1240.5708
2025-07-03,1237.9,1237.7704
2025-07-04,1247.64,1247.1682
2025-07-07,1275.41,1280.619
2025-07-08,1259.71,1262.2705
2025-07-10,1268.07,1271.4428
2025-07-11,1267.18,1272.6055
2025-07-14,1294.46,1295.7225
2025-07-15,1275.59,1281.2921
2025-07-16,1270.2,1275.5773
2025-07-17,1280.48,1284.9362
2025-07-18,1292.81,1295.9496
2025-07-21,1282.85,1287.634
2025-07-22,1261.83,1265.6569
2025-07-23,1264.35,1266.7348
2025-07-24,1274.61,1276.4132
2025-07-25,1286.83,1291.1922
2025-07-28,1294.95,1299.3492
2025-07-29,1292.65,1294.2743
2025-07-30,1321.25,1317.2311
2025-07-31,1359.53,1359.9732
2025-08-01,1363.78,1367.2469
2025-08-04,1356.1,1358.4337
2025-08-05,1344.93,1346.2756
2025-08-06,1336.15,1337.8199
2025-08-07,1328.79,1333.5549
2025-08-08,1332.44,1334.2197
2025-08-11,1325.68,1327.4921
2025-08-12,1323.51,1325.5393
2025-08-13,1319.36,1323.428
2025-08-14,1308.18,1311.4808
2025-08-18,1301.39,1302.7267
2025-08-19,1299.13,1302.4094
2025-08-20,1309.59,1313.7091
2025-08-21,1322.53,1322.142
2025-08-22,1330.81,1330.0269
2025-08-25,1362.21,1361.577
2025-08-26,1354.07,1356.1219
2025-08-27,1358.03,1358.8862
2025-08-28,1344.05,1344.8041
2025-08-29,1357.79,1353.9928
2025-09-01,1379.37,1380.7124
2025-09-02,1368.4,1370.8632
2025-09-03,1369.43,1374.6494
2025-09-04,1378.3,1379.3712
2025-09-05,1387.72,1387.1886
2025-09-08,1435.1,1436.1621
2025-09-09,1431.19,1434.6527
2025-09-10,1427.94,1434.934
2025-09-11,1445.41,1443.4381
2025-09-12,1471.1,1472.3666
2025-09-15,1491.04,1491.6982
2025-09-16,1469.91,1475.5477
2025-09-17,1490.15,1493.5442
2025-09-18,1529.29,1551.5084
2025-09-19,1561.04,1578.2322
2025-09-22,1430.58,1439.0946
2025-09-23,1406.35,1417.2844
2025-09-24,1373.31,1391.357
2025-09-25,1381.54,1420.7273
2025-09-26,1432.9,1471.6485
2025-09-29,1455.91,1496.4251
2025-09-30,1491.66,1531.424
2025-10-01,1532.79,1587.6413
2025-10-02,1507.39,1553.3203
2025-10-03,1499.17,1527.3031
2025-10-06,1496.33,1521.6206
2025-10-07,1534.23,1559.5768
2025-10-08,1527.55,1550.8927
2025-10-09,1443.52,1460.5442
2025-10-13,1414.92,1436.5653
2025-10-14,1451.58,1472.6148
2025-10-15,1443.61,1462.2675
2025-10-16,1476.32,1495.3982
2025-10-17,1540.25,1550.8906
2025-10-20,1554.77,1574.9911
2025-10-21,1592.18,1614.1818
2025-10-22,1589.76,1612.3249
2025-10-23,1538.17,1569.8177
2025-10-24,1550.4,1570.7848
2025-10-27,1444.12,1460.6338
2025-10-28,1476.77,1491.4331
2025-10-29,1472.19,1490.88
2025-10-30,1471.47,1490.9236
2025-10-31,1484.85,1501.5873
2025-11-03,1500.94,1524.8432
2025-11-04,1496.05,1514.948
2025-11-05,1480.9,1499.9207
2025-11-07,1454.97,1471.1006
2025-11-10,1458.54,1479.4049
2025-11-11,1455.92,1476.3687
2025-11-12,1451.81,1474.0544
2025-11-13,1458.13,1483.4521
2025-11-14,1453.1,1490.5213
2025-11-17,1447.81,1490.2551
2025-11-18,1440.35,1472.1172
2025-11-19,1442.16,1477.4295
2025-11-20,1452.96,1492.121
2025-11-25,1479.24,1525.1432
2025-11-26,1487.78,1533.3015
2025-11-27,1481.51,1526.1905
2025-11-28,1476.57,1520.6349
2025-12-01,1476.69,1518.3121
2025-12-02,1478.5,1522.0506
2025-12-03,1470.75,1509.9306
2025-12-04,1472.74,1511.4263
2025-12-05,1477.88,1510.1721
2025-12-09,1470.24,1503.0416
2025-12-10,1473.88,1506.9659
2025-12-11,1476.48,1506.3645
2025-12-12,1480.0,1515.0195
2025-12-15,1492.91,1532.1981
2025-12-16,1505.04,1547.3138
2025-12-17,1512.33,1556.0511
2025-12-18,1499.32,1545.916
2025-12-19,1497.15,1545.7072
2025-12-22,1493.95,1544.6966
2025-12-23,1480.83,1528.4791
2025-12-24,1503.15,1546.2963
2025-12-26,1486.84,1529.837
2025-12-29,1487.0,1527.8502
2025-12-30,1481.98,1525.8739
2026-01-02,1506.21,1540.6068
2026-01-05,1500.59,1539.9356
2026-01-06,1498.58,1537.3203
2026-01-07,1497.16,1532.8244
2026-01-08,1495.47,1532.3993
2026-01-09,1492.29,1530.935
2026-01-12,1490.24,1529.1558
2026-01-13,1487.36,1528.315
2026-01-14,1481.82,1525.6253
2026-01-15,1474.24,1514.137
2026-01-16,1473.06,1518.8335
2026-01-19,1466.45,1511.5552
2026-01-20,1471.97,1520.1395
2026-01-21,1465.03,1512.7001
2026-01-22,1460.8,1507.9365
2026-01-23,1470.17,1514.6758
2026-01-26,1469.0,1517.2764
2026-01-27,1464.42,1509.6121
2026-01-28,1463.25,1510.3285
2026-01-29,1459.6,1507.2218
2026-01-30,1461.52,1501.6966
2026-02-02,1453.03,1495.6522
2026-02-03,1460.55,1498.5453
2026-02-04,1458.74,1499.3174
2026-02-05,1464.98,1506.0282
2026-02-06,1447.5,1493.9983
2026-02-09,1438.53,1479.8461
2026-02-10,1434.07,1476.1587
2026-02-11,1431.84,1476.0797
2026-02-12,1417.24,1462.1933
2026-02-13,1425.07,1472.0549
2026-02-18,1413.42,1456.885
2026-02-19,1410.18,1449.3311
2026-02-20,1402.07,1448.6514
2026-02-23,1394.61,1441.4095
2026-02-24,1404.29,1448.2001
2026-02-25,1426.23,1472.2786
2026-02-26,1436.08,1481.9888
2026-02-27,1422.11,1465.1839
2026-03-02,1418.57,1461.812
2026-03-03,1438.28,1481.557
2026-03-04,1426.76,1467.8915
2026-03-05,1434.53,1476.1582
2026-03-06,1437.54,1480.8511
2026-03-09,1430.15,1475.4126
2026-03-10,1421.16,1464.7674
2026-03-11,1413.98,1456.4998
2026-03-13,1407.3,1450.2
2026-03-16,1418.3,1465.4
2026-03-17,1424.5500000000002,1471.7
2026-03-18,1422.3,1470.9
2026-03-19,1421.65,1470.1
2026-03-20,1423.25,1469.25
2026-03-23,1413.2,1469.25
2026-03-24,1413.2,1469.25
2026-03-25,1405.75,1451.15
2026-03-26,1399.0,1445.9
2026-03-27,1426.75,1474.4
2026-03-30,1434.4,1484.9
