date,ticker,company,country,eps_estimate,revenue_estimate_B,eps_actual
2026-04-13,GS,Goldman Sachs,Global,,,
2026-04-14,JNJ,Johnson & Johnson,Global,,,
2026-04-14,JPM,JPMorgan,Global,,,
2026-04-15,BAC,Bank of America,Global,,,
2026-04-16,TSM,TSMC,Global,,,
2026-04-22,TSLA,Tesla,Global,,,
2026-04-23,SAP,SAP,Global,,,
2026-04-23,VALE,Vale,Global,,,
2026-04-28,V,Visa,Global,,,
2026-04-29,TTE,TotalEnergies,Global,,,
2026-04-29,VIST,Vista Oil & Gas,AR,,,
2026-04-29,META,Meta,Global,,,
2026-04-29,MSFT,Microsoft,Global,,,
2026-04-29,GOOGL,Alphabet,Global,,,
2026-04-30,AMZN,Amazon,Global,,,
2026-04-30,AAPL,Apple,Global,,,
2026-05-01,CVX,Chevron,Global,,,
2026-05-01,XOM,ExxonMobil,Global,,,
2026-05-05,ITUB,Itaú Unibanco,Global,,,
2026-05-05,LOMA,Loma Negra,AR,,,
2026-05-05,CEPU,Central Puerto,AR,,,
2026-05-06,PAM,Pampa Energía,AR,,,
2026-05-07,TGS,Transportadora Gas Sur,AR,,,
2026-05-07,SHEL,Shell,Global,,,
2026-05-08,EDN,Edenor,AR,,,
2026-05-11,PBR,Petrobras,Global,,,
2026-05-13,ARCO,Arca Continental,AR,,,
2026-05-14,BABA,Alibaba,Global,,,
2026-05-20,NVDA,NVIDIA,Global,,,
2026-05-21,WMT,Walmart,Global,,,
2026-05-26,SUPV,Supervielle,AR,,,
2026-05-26,BBAR,BBVA Argentina,AR,,,
2026-05-26,GGAL,Grupo Galicia,AR,,,
2026-05-27,BMA,Banco Macro,AR,,,
