fecha,br_cpi_yoy,us_cpi_yoy,eu_cpi_yoy,jp_cpi_yoy,cn_cpi_yoy
2019-01-01,3.78,1.6,1.4,0.2,1.7
2019-02-01,4.18,1.5,1.5,0.35,2.0
2019-03-01,4.58,1.9,1.4,0.5,2.3
2019-04-01,4.176666666666667,2.0,1.7,0.5666666666666667,2.433333333333333
2019-05-01,3.773333333333333,1.8,1.2,0.6999999999999998,2.566666666666667
2019-06-01,3.37,1.6,1.3,0.6999999999999998,2.7
2019-07-01,3.21,1.8,1.0,0.5,2.8000000000000003
2019-08-01,3.0500000000000003,1.7,1.0,0.2999999999999999,2.9
2019-09-01,2.89,1.7,0.8,0.2,3.0
2019-10-01,3.3633333333333333,1.8,0.7,0.2,3.5
2019-11-01,3.8366666666666656,2.1,1.0,0.5,4.0
2019-12-01,4.31,2.3,1.3,0.8,4.5
2020-01-01,3.973333333333333,2.5,1.4,0.6999999999999998,5.4
2020-02-01,3.6366666666666654,2.3,1.2,0.4,4.85
2020-03-01,3.3,1.5,0.7,0.4,4.3
2020-04-01,2.91,0.3,0.3,0.1,3.7
2020-05-01,2.52,0.1982013035848551,0.1,0.1,2.4118738404452778
2020-06-01,2.13,0.7166562831830481,0.3,0.1,2.506963788300842
2020-07-01,2.466666666666667,0.9968647625897997,0.4,0.2999999999999999,1.757631822386685
2020-08-01,2.803333333333333,1.2810698495523853,-0.2,0.2,2.3875114784205564
2020-09-01,3.14,1.3910228912373812,-0.3,0.0,1.7304189435336959
2020-10-01,3.6,1.2303863428671624,-0.3,-0.4,0.5415162454873723
2020-11-01,4.06,1.1757452138405844,-0.3,-0.9,-0.4496402877697814
2020-12-01,4.52,1.3204191315779434,-0.3,-1.2,0.2697841726618577
2021-01-01,4.56,1.3738437137002402,0.9,-0.6999999999999998,-0.22163120567375572
2021-02-01,5.33,1.6698167791706853,0.9,-0.5,-0.4227792436235722
2021-03-01,6.1,2.6678187820641908,1.3,-0.4,0.3219056099732942
2021-04-01,6.85,4.133077115360573,1.6,-1.1,0.9226415094339524
2021-05-01,7.6,4.918257089467626,2.0,-0.8,1.6443840579710045
2021-06-01,8.35,5.295632620349999,1.9,-0.5,1.2402173913043324
2021-07-01,8.983333333333333,5.245169381309234,2.2,0.2,1.9125454545454668
2021-08-01,9.616666666666667,5.152015301793966,3.0,0.2,0.6416143497757876
2021-09-01,10.25,5.351215590949132,3.4,0.2,0.46141450313339494
2021-10-01,10.186666666666667,6.235042390298062,4.1,0.4,1.4328545780969426
2021-11-01,10.123333333333331,6.901970403700863,4.9,0.6000000000000001,2.477326106594413
2021-12-01,10.06,7.174340285065539,5.0,0.8,1.4418834080717424
2022-01-01,10.38,7.558805726967832,5.1,0.5,0.9911150599733354
2022-02-01,10.84,7.937278766517819,5.9,0.85,0.9851677231708766
2022-03-01,11.3,8.572204966013853,7.4,1.2,1.4851568637023194
2022-04-01,11.496666666666668,8.231750770777225,7.5,1.6,2.1846948504766095
2022-05-01,11.693333333333332,8.538171195642065,8.1,2.0,2.0874140269517394
2022-06-01,11.89,8.979361103105798,8.7,2.4,2.4949628341260466
2022-07-01,10.316666666666666,8.462576727730099,8.9,2.6,2.686617224393806
2022-08-01,8.743333333333334,8.222579178218826,9.2,2.8,2.4850421599887484
2022-09-01,7.17,8.192106896425821,9.9,3.0,2.783307816930658
2022-10-01,6.71,7.758813957693,10.6,3.333333333333333,2.1717544483796702
2022-11-01,6.25,7.122856456533988,10.1,3.6666666666666665,1.5732212999724826
2022-12-01,5.79,6.404600402357152,9.2,4.0,1.7752107062560807
2023-01-01,5.77,6.327178517960097,8.7,4.3,2.0607836150811076
2023-02-01,5.21,5.957820738137087,8.5,3.75,0.9756443144557148
2023-03-01,4.65,4.917719362889961,6.9,3.2,0.6829947513746992
2023-04-01,4.153333333333333,4.950079879124369,7.0,3.2333333333333334,0.09722872010935468
2023-05-01,3.6566666666666654,4.131851231385042,6.1,3.2666666666666666,0.1947488516713891
2023-06-01,3.16,3.070617072997095,5.5,3.3,0.0
2023-07-01,3.836666666666667,3.287749268428297,5.3,3.2,-0.29075121008794724
2023-08-01,4.513333333333334,3.722504803505289,5.2,3.1,0.09704010295292775
2023-09-01,5.19,3.687206638119256,4.3,3.0,0.0
